region,year,combustible waste,PM10,ozone,sulfur dioxide,nitrogen dioxide,carbon monoxide,parkinson's disease,asthma,chronic bronchitis,acute myocardial infarction,angina pectoris
seoul,2010,2754,49.16666667,0.019,0.004833333,0.033666667,0.5417,21755,415685,87734,15995,144359
seoul,2011,2865.5,47.16666667,0.019,0.005,0.033,0.5583,22895,417137,88970,16483,148916
seoul,2012,2724.5,41,0.021,0.00525,0.030333333,0.5333,24214,380875,100151,16256,152181
seoul,2013,2668,44.5,0.022,0.005416667,0.033333333,0.5333,25813,343974,88094,17297,150403
seoul,2014,2948,45.91666667,0.023,0.005583333,0.033416667,0.5083,26441,317789,87297,18346,154560
seoul,2015,2562.8,45.5,0.022416667,0.005583333,0.031833333,0.525,28094,286345,75966,19880,155474
seoul,2016,2753.8,47.83333333,0.023916667,0.004916667,0.03125,0.525,30010,301041,80068,21224,164911
seoul,2017,2666,43.83333333,0.027666667,0.004583333,0.029666667,0.525,31151,287021,77143,21931,172113
seoul,2018,2602.1,39.75,0.023333333,0.004416667,0.02825,0.508333333,33050,268183,79158,24333,176449
seoul,2019,2925,41.58333333,0.024916667,0.004166667,0.028083333,0.541666667,34567,252697,78557,25586,178816
busan,2010,677.5,48.66666667,0.026,0.005454545,0.020916667,0.40833,5555,140285,29958,5386,53330
busan,2011,780.9,47.58333333,0.027,0.00625,0.019666667,0.38333,6070,134642,29138,5737,56546
busan,2012,764,43.41666667,0.029,0.00625,0.0205,0.4,6777,123186,36753,5360,61356
busan,2013,707.1,48.5,0.029,0.007166667,0.021,0.41667,7344,104557,31079,5635,62651
busan,2014,907.6,48.41666667,0.029,0.00675,0.01975,0.36667,7936,95659,27900,5913,65501
busan,2015,761.8,49.125,0.028833333,0.006666667,0.020333333,0.375,8525,95549,32260,6706,67976
busan,2016,675.1,43.83333333,0.029416667,0.005583333,0.02125,0.4,9026,96325,36177,7305,69280
busan,2017,710.3,43.75,0.030416667,0.004833333,0.019833333,0.358333333,9305,86526,39053,7562,66472
busan,2018,776.7,41.58333333,0.028916667,0.004916667,0.019333333,0.35,9779,83752,38566,8466,66450
busan,2019,798.8,36.91666667,0.030833333,0.004666667,0.019333333,0.383333333,9981,79142,32891,8623,67109
daegu,2010,492.6,51.08333333,0.022,0.005583333,0.025,0.525,3710,120617,11767,6229,29566
daegu,2011,512.5,46.66666667,0.025,0.004666667,0.024333333,0.48333,4066,119454,14476,6969,31558
