,날짜,feat_a,feat_b,feat_c,feat_d,feat_e,feat_f,매출
0,2021. 11. 30,30480660,100048,3275,319,3995,4667050,27293784
1,2021. 11. 29,29593770,95950,6697,308,3834,4530980,25066031
2,2021. 11. 28,19918007,86572,7129,304,3667,3584937,22762015
3,2021. 11. 27,20090058,85331,1825,312,3452,3896014,22723865
4,2021. 11. 26,28273300,94126,6574,327,3898,7075691,23686756
5,2021. 11. 25,29214392,95931,9885,314,4064,6554379,23537497
6,2021. 11. 24,29246993,97020,1431,310,4107,5361970,24706563
7,2021. 11. 23,29679512,98338,6964,310,4108,5376020,25061148
8,2021. 11. 22,29405727,98275,4494,300,4035,5596641,23884446
9,2021. 11. 21,19824043,90855,5349,296,3660,4513387,22350247
10,2021. 11. 20,19540473,85607,6678,312,3340,4737742,21934422
11,2021. 11. 19,28205760,97921,5110,303,3701,5003001,24658924
12,2021. 11. 18,29364886,97748,3136,297,4057,4671073,24364388
13,2021. 11. 17,30381899,101706,3408,282,3978,4837917,23825260
14,2021. 11. 16,31315003,104520,9792,271,4101,4866384,23411220
15,2021. 11. 15,31319107,104742,2684,258,4005,3387842,23652040
16,2021. 11. 14,21086887,96158,1968,261,3830,2742601,22319537
17,2021. 11. 13,20633119,91390,2857,277,3662,2523525,22771266
18,2021. 11. 12,28567967,98996,4866,280,3993,3373376,24385917
19,2021. 11. 11,29673782,99591,3941,284,6401,3851229,24420433
20,2021. 11. 10,29218134,101985,1078,275,4650,4322745,23695086
21,2021. 11. 9,28000333,103518,431,275,4765,5292461,23182210
22,2021. 11. 8,29349546,108456,6799,254,4724,4432587,23108742
23,2021. 11. 7,21512489,95455,3465,250,4344,4288829,19621762
24,2021. 11. 6,20992670,92440,6641,262,3978,4774256,19440872
25,2021. 11. 5,29396091,105516,9849,252,4163,5717050,20872837
26,2021. 11. 4,29896719,102764,1563,273,4603,5078181,22940904
27,2021. 11. 3,29998397,101548,285,276,4234,4201279,23781526
28,2021. 11. 2,30020717,101840,3316,268,4192,3178521,24122071
29,2021. 11. 1,29613105,103756,9515,261,4948,3069222,23970081
30,2021. 10. 31,20255262,92829,6595,251,3272,2895651,20418741
31,2021. 10. 30,19507473,88545,1079,266,2999,3450068,20093796
32,2021. 10. 29,28055109,99602,2669,277,3295,4979577,22574641
33,2021. 10. 28,28951916,101325,1867,274,3589,5594280,22177398
34,2021. 10. 27,29144289,102894,2631,274,3831,5529756,22689848
35,2021. 10. 26,28623569,102099,1851,265,3901,4177978,22875631
36,2021. 10. 25,28417407,103036,3379,256,3978,3435013,22917464
37,2021. 10. 24,20322098,96885,9180,250,3915,3482335,20702792
38,2021. 10. 23,19788990,93876,7535,254,3562,4058742,19772349
39,2021. 10. 22,27875135,102253,9272,262,3745,4120205,22682235
40,2021. 10. 21,28992355,103868,4830,254,3978,3682392,22722286
41,2021. 10. 20,28801529,100928,2375,258,4002,4920718,21166794
42,2021. 10. 19,29309438,105057,9924,242,3970,4507598,20896175
43,2021. 10. 18,29196168,103666,8859,238,3954,4056064,20643874
44,2021. 10. 17,19624625,95224,5905,225,3834,2793692,18636778
45,2021. 10. 16,19534641,94226,3579,222,3635,3041637,17922352
46,2021. 10. 15,27250775,102862,1688,238,3779,3589725,20850687
47,2021. 10. 14,28274283,101661,3172,246,3839,4173488,20794976
48,2021. 10. 13,28285459,102295,6423,237,3865,3936950,20327524
49,2021. 10. 12,28876013,105710,7477,217,4099,3263206,19708375
50,2021. 10. 11,21718379,101606,4241,212,5094,3310609,18251487
51,2021. 10. 10,19070266,97499,3066,212,3905,3654518,17056722
52,2021. 10. 9,18844222,96310,5896,215,3738,3849404,16816519
53,2021. 10. 8,27396662,103052,4165,236,3849,3927966,20385394
54,2021. 10. 7,27615956,100866,9993,230,3960,4342903,18833539
55,2021. 10. 6,27662865,101067,1510,229,4061,3369730,19761187
56,2021. 10. 5,28148112,104246,3225,217,4013,3055269,19538688
57,2021. 10. 4,21109275,100014,3621,215,4152,2619116,18891497
58,2021. 10. 3,18386135,92357,9569,209,3753,2744149,16591668
59,2021. 10. 2,18375653,90526,4046,215,3724,3134025,16326282
60,2021. 10. 1,27106629,101336,9106,230,4209,3532800,19811381
61,2021. 9. 30,29321751,100146,1366,256,3874,4305611,21348569
62,2021. 9. 29,28915360,101761,8015,257,4096,4300095,21900266
63,2021. 9. 28,28838098,102958,3500,238,4104,3593021,20916417
64,2021. 9. 27,28974832,102650,2361,229,3978,3719695,19753077
65,2021. 9. 26,19713796,95184,5555,219,4034,3183328,17707472
66,2021. 9. 25,20087146,93959,6258,224,3885,3508916,17502645
67,2021. 9. 24,27149433,99775,5562,241,4022,4981552,19101953
68,2021. 9. 23,28846953,104152,793,228,4068,3619137,20082269
69,2021. 9. 22,19579510,94759,1781,219,3801,2792957,17971968
70,2021. 9. 21,17752415,89397,4341,220,3068,2751369,16871866
71,2021. 9. 20,17600267,87332,2100,225,3004,3154930,16489842
72,2021. 9. 19,18253710,91541,2526,226,3262,3723321,17004990
73,2021. 9. 18,19439285,94019,1357,232,3588,4331032,17437291
74,2021. 9. 17,27143685,105440,3415,251,3838,5586893,20842770
75,2021. 9. 16,28906287,106427,8521,254,4060,4295010,22767171
76,2021. 9. 15,29593602,106188,2328,257,4289,4337082,22937133
77,2021. 9. 14,30097795,109155,656,251,4737,4276406,23091034
78,2021. 9. 13,30515842,109509,3449,244,4732,3206999,23556598
79,2021. 9. 12,21103172,100393,5431,234,4964,3010133,20530625
80,2021. 9. 11,20950399,98284,168,236,5506,3127011,20082430
81,2021. 9. 10,28986427,109355,9241,244,4844,3104978,23571203
82,2021. 9. 9,29992155,110011,395,241,4866,2948510,23566554
83,2021. 9. 8,30386553,108397,3244,238,4912,2683018,23099216
84,2021. 9. 7,24108084,114961,4873,238,5203,3292435,24093062
85,2021. 9. 6,30507189,113238,5357,231,4914,4274624,21876967
86,2021. 9. 5,20446204,101702,7937,224,5210,4165064,18638365
87,2021. 9. 4,20276313,100150,5912,223,4964,4107113,18246181
88,2021. 9. 3,28882054,113656,3995,231,5104,5933382,20342171
89,2021. 9. 2,30678712,116622,953,231,5187,5472459,21475165
90,2021. 9. 1,30125761,115029,7905,221,5439,3607126,21853264
91,2021. 8. 31,30643596,112525,2472,233,5106,4811869,21370391
92,2021. 8. 30,30146156,111402,311,229,4905,4056816,21500298
93,2021. 8. 29,20761126,100638,2126,224,5374,4348227,18241348
94,2021. 8. 28,21015308,97624,3371,231,4947,4975476,17546323
95,2021. 8. 27,29373200,111348,4465,229,5615,5812346,19635171
96,2021. 8. 26,29862112,108836,6571,224,5312,5189622,19217638
97,2021. 8. 25,30450734,112531,5170,219,5623,4462724,20187993
98,2021. 8. 24,30781238,117379,7755,209,5828,3947237,20530841
99,2021. 8. 23,31322284,119600,6202,210,5527,3834013,21310862
100,2021. 8. 22,21602044,102670,503,216,5487,4085011,18066654
101,2021. 8. 21,22771149,108366,905,209,5497,4442075,18196463
102,2021. 8. 20,29939889,114089,4681,218,5307,4390401,20536386
103,2021. 8. 19,30782393,115326,3319,216,5108,4279696,20678932
104,2021. 8. 18,31173223,117691,3201,209,5071,4316373,20312035
105,2021. 8. 17,31120583,117875,1410,205,5008,4618532,19506439
106,2021. 8. 16,24243240,116852,9321,184,5360,3244767,18225320
