,날짜,feat_a,feat_b,feat_c,feat_d,feat_e,feat_f,매출
0,2022. 2. 28,0,302239,5794,120,9426,0,36339622
1,2022. 2. 27,0,216136,9346,174,7037,494882,37568748
2,2022. 2. 26,0,229206,7411,164,8025,494870,37568713
3,2022. 2. 25,0,325934,3171,115,10158,494870,37568713
4,2022. 2. 24,0,337694,2133,111,10049,494870,37568713
5,2022. 2. 23,0,329130,3500,114,9858,494870,37568713
6,2022. 2. 22,0,331085,5156,113,9291,494870,37568713
7,2022. 2. 21,0,345299,9367,109,9361,494870,37568713
8,2022. 2. 20,0,235433,1644,157,9088,0,37073866
9,2022. 2. 19,0,235455,2485,157,7723,0,37073843
10,2022. 2. 18,0,336551,6675,110,9279,0,37073843
11,2022. 2. 17,0,329664,4947,112,8742,0,37073843
12,2022. 2. 16,0,341609,3294,109,9115,453636,37073843
13,2022. 2. 15,0,358150,9609,104,9103,206195,37073843
14,2022. 2. 14,0,348498,8157,108,9537,206195,37568713
15,2022. 2. 13,0,228115,6546,162,6732,206195,37032620
16,2022. 2. 12,0,216958,581,171,7290,206195,37032604
17,2022. 2. 11,0,326959,4820,113,10008,206195,37032604
18,2022. 2. 10,0,319004,548,116,9156,206195,37032604
19,2022. 2. 9,0,314585,9260,118,9145,206195,37032604
20,2022. 2. 8,0,309071,1575,120,10512,206195,37032604
21,2022. 2. 7,0,304694,6117,122,8973,206195,37032604
22,2022. 2. 6,0,208318,6751,174,7940,206195,36290298
23,2022. 2. 5,0,217266,9771,167,7869,206195,36290298
24,2022. 2. 4,0,301457,388,120,8454,206195,36290298
25,2022. 2. 3,0,304895,268,119,8000,206195,36290298
26,2022. 2. 2,0,210213,1369,173,5887,206195,36290298
27,2022. 2. 1,0,185913,1974,195,4696,206198,36290296
28,2022. 1. 31,0,177006,544,203,6423,3166304,35946867
29,2022. 1. 30,0,186150,7225,194,5713,3166108,36192079
30,2022. 1. 29,0,200673,7503,180,5936,3166108,36192075
31,2022. 1. 28,0,301426,3684,120,6668,3166108,36192075
32,2022. 1. 27,0,328865,3155,110,7750,3166108,36192075
33,2022. 1. 26,0,342032,9218,106,8022,3166108,36192075
34,2022. 1. 25,0,363505,483,100,8343,3166108,36192075
35,2022. 1. 24,0,359121,1896,101,8232,3166108,36192075
36,2022. 1. 23,0,262331,450,144,6718,3166108,37676724
37,2022. 1. 22,0,258136,9279,146,8066,3166108,37676682
38,2022. 1. 21,0,348489,5189,108,9493,3166108,37676682
39,2022. 1. 20,0,368947,214,102,10280,3166108,37676682
40,2022. 1. 19,0,372568,9310,101,9236,3166108,37676682
41,2022. 1. 18,0,354014,5178,106,9000,3166108,37676682
42,2022. 1. 17,0,350016,1310,108,9422,3166108,37676682
43,2022. 1. 16,0,267873,7972,143,7394,3166108,38419046
44,2022. 1. 15,0,266514,5835,144,7687,3166108,38418988
45,2022. 1. 14,0,346938,9390,112,10161,3166108,38921842
46,2022. 1. 13,0,366615,2739,105,11584,3166108,38605230
47,2022. 1. 12,0,354404,8693,109,11355,3166108,38605230
48,2022. 1. 11,0,364199,9393,106,12312,3166108,38605230
49,2022. 1. 10,0,362027,594,107,10389,3166108,38605230
50,2022. 1. 9,0,284363,7652,130,7466,3166108,36873202
51,2022. 1. 8,0,283918,2291,130,7463,3166108,36873186
52,2022. 1. 7,0,363208,8245,101,11070,3277860,36761434
53,2022. 1. 6,0,364267,2912,100,9958,3724833,36314459
54,2022. 1. 5,0,373786,9145,97,10395,3724833,36314459
55,2022. 1. 4,0,359851,4022,101,10302,3724833,36314459
56,2022. 1. 3,0,350788,1607,104,9496,3724833,36314459
57,2022. 1. 2,0,269219,2494,134,6797,3724833,36067037
58,2022. 1. 1,0,270007,2931,134,6370,3724833,36067025
59,2021. 12. 31,0,335730,731,139,9928,2048785,46685661
60,2021. 12. 30,0,385340,3957,121,11644,2048658,46682797
61,2021. 12. 29,0,400342,6287,117,11432,2048658,46682797
62,2021. 12. 28,0,392019,4629,119,11875,2048658,46682797
63,2021. 12. 27,0,415182,6967,112,13233,2048658,46682797
64,2021. 12. 26,0,314612,7039,152,8132,2048658,47920017
65,2021. 12. 25,0,284613,1195,168,7399,2048658,47919975
66,2021. 12. 24,0,364671,953,131,9629,2048658,47919975
67,2021. 12. 23,0,380395,3100,126,12485,2048658,47919975
68,2021. 12. 22,0,377595,6875,127,11658,2048658,47919975
69,2021. 12. 21,0,386239,921,125,11858,2048658,48291128
70,2021. 12. 20,0,391036,3005,123,13216,2048658,48167409
71,2021. 12. 19,0,292380,3768,177,10093,2048658,51631626
72,2021. 12. 18,0,292878,9776,176,8661,2267582,51412575
73,2021. 12. 17,0,414812,8304,124,11975,2296093,51384063
74,2021. 12. 16,0,410232,650,125,12257,2296093,51384063
75,2021. 12. 15,0,403092,2331,127,12557,2296093,51384063
76,2021. 12. 14,0,411168,4785,125,12572,2296093,51384063
77,2021. 12. 13,0,423512,4681,121,12649,2296093,51384063
78,2021. 12. 12,0,292566,2697,162,8726,2048658,47425131
79,2021. 12. 11,0,281913,6873,168,8334,2048658,47425103
80,2021. 12. 10,0,397951,4806,119,11156,2048658,47425103
81,2021. 12. 9,0,422643,7216,112,11380,2048658,47425103
82,2021. 12. 8,0,413593,6697,115,11534,2048658,47425103
83,2021. 12. 7,0,405497,7010,117,11608,2048658,47425103
84,2021. 12. 6,0,406259,5702,117,11494,2048658,47425103
85,2021. 12. 5,0,289089,1393,161,8831,2048658,46435368
86,2021. 12. 4,0,273378,7072,170,8965,2048658,46435363
87,2021. 12. 3,0,392272,5990,118,12589,2048658,46435363
88,2021. 12. 2,0,405101,8425,115,14121,2048658,46435363
89,2021. 12. 1,0,409388,9766,113,14129,2048658,46435363
90,2021. 11. 30,0,436343,8069,117,14209,385012,51261499
91,2021. 11. 29,0,410566,661,125,13128,384896,51246201
92,2021. 11. 28,0,281846,6541,190,8854,384896,53473170
93,2021. 11. 27,0,261433,5087,205,8419,384896,53473115
94,2021. 11. 26,0,390964,7326,137,13410,384896,53473115
95,2021. 11. 25,0,412023,9054,130,14698,384896,53473115
96,2021. 11. 24,0,419625,505,127,15942,384896,53473115
97,2021. 11. 23,0,443037,3516,121,16295,384896,53473115
98,2021. 11. 22,0,427691,4624,125,15080,384896,53473115
99,2021. 11. 21,0,280142,7570,201,8635,384896,56442460
100,2021. 11. 20,0,270143,1984,209,8312,384896,56442335
101,2021. 11. 19,0,399112,3513,141,13244,384896,56442335
102,2021. 11. 18,0,418127,6029,135,14690,384896,56442335
103,2021. 11. 17,0,407979,6706,138,15180,384896,56442335
104,2021. 11. 16,0,434219,2550,130,15555,384896,56442335
105,2021. 11. 15,0,417387,3044,135,14192,384896,56442335
106,2021. 11. 14,0,279499,2638,186,8771,384896,51988526
107,2021. 11. 13,0,280311,8052,185,9092,384896,51988503
108,2021. 11. 12,0,423863,5412,123,14970,384896,51988503
109,2021. 11. 11,0,443397,465,117,16421,384896,51988503
110,2021. 11. 10,0,452512,7874,115,17199,384896,51988503
111,2021. 11. 9,0,474437,7854,110,17263,384896,51988503
112,2021. 11. 8,0,467696,8471,111,15760,384896,51988503
113,2021. 11. 7,0,293513,8929,193,9159,384943,56689857
114,2021. 11. 6,0,273589,3334,204,8704,1154689,55919976
115,2021. 11. 5,0,437417,4503,128,14073,1154689,55919976
116,2021. 11. 4,0,443426,6503,126,15360,1154712,55919953
117,2021. 11. 3,0,453424,7595,122,16276,1924482,55150184
118,2021. 11. 2,0,431217,2840,128,15461,1924482,55150184
119,2021. 11. 1,0,418903,829,132,13635,1924482,55150184
120,2021. 10. 31,0,273764,3090,189,8350,806200,51767627
121,2021. 10. 30,0,273775,8748,189,8415,806160,51764532
122,2021. 10. 29,0,408634,3751,127,12860,806160,51764532
123,2021. 10. 28,0,446276,7816,116,14299,806160,51764532
124,2021. 10. 27,0,435123,1024,119,14236,806160,51764532
125,2021. 10. 26,0,449408,2618,115,14100,806160,51764532
126,2021. 10. 25,0,436382,5263,119,12496,1202055,51764532
127,2021. 10. 24,0,288909,9164,180,8138,558725,52012045
128,2021. 10. 23,0,281116,7128,185,7790,558725,52011966
129,2021. 10. 22,0,452697,1042,115,13304,558725,52011966
130,2021. 10. 21,0,488699,9263,106,13261,558725,52011966
131,2021. 10. 20,0,474437,5467,110,13696,558725,52403077
132,2021. 10. 19,0,470885,9806,111,13472,558725,52198210
133,2021. 10. 18,0,455295,7283,116,12549,558725,52594106
134,2021. 10. 17,0,288081,7437,173,7937,558725,49723876
135,2021. 10. 16,0,293428,5219,169,8022,558725,49723858
136,2021. 10. 15,0,415681,4879,120,11014,558725,49723858
137,2021. 10. 14,0,404427,1032,123,11770,558725,49723858
138,2021. 10. 13,0,410916,1198,121,9855,558725,49723858
139,2021. 10. 12,0,427394,234,118,10398,558725,50263957
140,2021. 10. 11,0,338380,6682,147,7917,558725,49910102
141,2021. 10. 10,0,274201,2999,184,5739,806166,50404997
142,2021. 10. 9,0,264138,8378,191,5715,806160,50404969
143,2021. 10. 8,0,411853,6510,124,8814,806160,51019570
144,2021. 10. 7,0,417227,7643,121,9915,843411,50553963
145,2021. 10. 6,0,406413,1844,125,9507,1074882,50974338
146,2021. 10. 5,0,391987,1421,128,8173,1610992,50343780
147,2021. 10. 4,0,322722,7422,156,6924,1636274,50194777
148,2021. 10. 3,0,256147,7462,192,5488,2482341,49101308
149,2021. 10. 2,0,258943,9375,190,5677,2482335,49101280
150,2021. 10. 1,0,380038,9570,129,8045,2482335,49101280
151,2021. 9. 30,0,392038,949,121,8519,1402470,47246087
152,2021. 9. 29,0,441847,111,107,9641,1402124,47232287
153,2021. 9. 28,0,432902,2731,109,9420,1402124,47232287
154,2021. 9. 27,0,410240,8387,115,8609,1402124,47232287
155,2021. 9. 26,0,277317,5321,166,6011,1154689,45995113
156,2021. 9. 25,0,270263,4358,170,6071,1154689,45995113
157,2021. 9. 24,0,404000,855,114,8621,1154689,45995113
158,2021. 9. 23,0,403859,9728,114,8272,1154689,45995113
159,2021. 9. 22,0,275976,3048,167,5464,1154689,45995113
160,2021. 9. 21,0,246915,2784,186,3760,1154689,45995113
161,2021. 9. 20,0,215615,3312,213,3362,1154689,45995113
162,2021. 9. 19,0,227541,6121,206,3902,1154689,46984876
163,2021. 9. 18,0,242865,1301,193,4367,1154689,46984853
164,2021. 9. 17,0,409861,295,116,6808,1154689,47427486
165,2021. 9. 16,0,438160,2377,108,7614,1154689,47177300
166,2021. 9. 15,0,419052,4767,113,7824,1154689,47177300
167,2021. 9. 14,0,422187,5058,112,8306,1154689,47177300
168,2021. 9. 13,0,405568,5654,116,7798,1154689,47177300
169,2021. 9. 12,0,282343,9056,187,5901,1154689,52868463
170,2021. 9. 11,0,266801,6736,198,5553,1154689,52868306
171,2021. 9. 10,0,404584,3319,131,8328,1154689,52868306
172,2021. 9. 9,0,421470,3899,127,9311,1154689,53464898
173,2021. 9. 8,0,416880,9998,127,9280,1154689,53060753
174,2021. 9. 7,0,446308,8517,119,9435,1154689,53060753
175,2021. 9. 6,0,403072,3930,132,8066,1154689,53060753
176,2021. 9. 5,0,287020,1403,169,5877,1328878,48432787
177,2021. 9. 4,0,281972,1899,172,5646,1347137,48414474
178,2021. 9. 3,0,411024,1947,118,8131,1347137,48414474
179,2021. 9. 2,0,445201,7929,109,8245,1347137,48414474
180,2021. 9. 1,0,415447,4723,117,8127,1347137,48414474
181,2021. 8. 31,0,415578,8952,103,7242,1117519,42830111
182,2021. 8. 30,0,388852,5215,111,6601,1117450,43223490
183,2021. 8. 29,0,274402,3896,156,4817,1117450,42827649
